S. No.,Station Code,Station Name,Route No.,Arrival Time,Departure Time,Halt Time (In Minutes),Distance,Day
1,CAPE,KANYAKUMARI,1,Source,23:00,--,0,1
2,NCJ,NAGERCOIL JN,1,23:20,23:25,5:00,16,1
3,TVC,TRIVANDRUM CNTL,1,0:40,0:45,5:00,87,2
4,QLN,KOLLAM JN,1,1:40,1:43,3:00,152,2
5,CNGR,CHENGANNUR,1,2:38,2:40,2:00,213,2
6,KTYM,KOTTAYAM,1,3:42,3:45,3:00,247,2
7,ERN,ERNAKULAM TOWN,1,5:20,5:25,5:00,310,2
8,AWY,ALUVA,1,5:43,5:45,2:00,326,2
9,TCR,THRISUR,1,6:27,6:30,3:00,381,2
10,PGT,PALAKKAD JN,1,8:07,8:10,3:00,458,2
11,CBE,COIMBATORE JN,1,9:27,9:30,3:00,513,2
12,TUP,TIRUPPUR,1,10:13,10:15,2:00,563,2
13,ED,ERODE JN,1,11:10,11:15,5:00,613,2
14,SA,SALEM JN,1,12:07,12:10,3:00,676,2
15,JTJ,JOLARPETTAI,1,13:53,13:55,2:00,796,2
16,KPD,KATPADI JN,1,15:00,15:05,5:00,879,2
17,RU,RENIGUNTA JN,1,17:15,17:25,10:00,1012,2
18,NLR,NELLORE,1,19:23,19:25,2:00,1134,2
19,OGL,ONGOLE,1,20:48,20:50,2:00,1250,2
20,BZA,VIJAYAWADA JN,1,23:30,23:40,10:00,1388,2
21,EE,ELURU,1,0:23,0:25,2:00,1448,3
22,RJY,RAJAHMUNDRY,1,1:56,1:58,2:00,1537,3
23,SLO,SAMALKOT JN,1,2:41,2:42,1:00,1588,3
24,DVD,DUVVADA,1,5:38,5:40,2:00,1721,3
25,VSKP,VISAKHAPATNAM,1,6:15,6:35,20:00,1739,3
26,VZM,VIZIANAGRAM JN,1,7:35,7:40,5:00,1799,3
27,CHE,SRIKAKULAM ROAD,1,8:35,8:37,2:00,1869,3
28,PSA,PALASA,1,9:48,9:50,2:00,1942,3
29,BAM,BRAHMAPUR,1,10:55,11:00,5:00,2015,3
30,KUR,KHURDA ROAD JN,1,13:15,13:35,20:00,2162,3
31,BBS,BHUBANESWAR,1,14:03,14:08,5:00,2181,3
32,CTC,CUTTACK,1,14:33,14:38,5:00,2209,3
33,BHC,BHADRAK,1,16:38,16:40,2:00,2324,3
34,BLS,BALASORE,1,17:25,17:27,2:00,2387,3
35,HIJ,HIJLI,1,18:59,19:00,1:00,2498,3
36,MDN,MIDNAPORE,1,20:10,20:12,2:00,2521,3
37,BQA,BANKURA,1,21:28,21:30,2:00,2624,3
38,ADRA,ADRA JN,1,22:20,22:25,5:00,2677,3
39,ASN,ASANSOL JN,1,23:40,23:50,10:00,2718,3
40,DGR,DURGAPUR,1,0:25,0:45,20:00,2760,4
41,RPH,RAMPUR HAT,1,3:32,3:37,5:00,2878,4
42,MLDT,MALDA TOWN,1,6:15,6:25,10:00,2999,4
43,KNE,KISHANGANJ,1,8:25,8:27,2:00,3144,4
44,NJP,NEW JALPAIGURI,1,10:10,10:20,10:00,3232,4
45,APDJ,ALIPUR DUAR JN,1,14:00,14:05,5:00,3400,4
46,KOJ,KOKRAJHAR,1,15:01,15:02,1:00,3481,4
47,NBQ,NEW BONGAIGAON,1,15:45,15:50,5:00,3509,4
48,GLPT,GOALPARA TOWN,1,16:27,16:29,2:00,3589,4
49,GHY,GUWAHATI,1,19:10,19:25,15:00,3717,4
50,JID,JAGI ROAD,1,20:29,20:30,1:00,3774,4
51,LMG,LUMDING JN,1,22:33,22:37,4:00,3898,4
52,DPU,DIPHU,1,23:10,23:11,1:00,3930,4
53,DMV,DIMAPUR,1,23:50,23:57,7:00,3967,4
54,FKG,FURKATING JN,1,1:50,1:52,2:00,4037,5
55,MXN,MARIANI JN,1,2:30,2:35,5:00,4075,5
56,NTSK,NEW TINSUKIA JN,1,5:00,5:10,10:00,4231,5
57,DBRG,DIBRUGARH,1,6:40,--,--,4273,5
