S. No.,Station Code,Station Name,Route No.,Arrival Time,Departure Time,Halt Time (In Minutes),Distance,Day
1,TVC,TRIVANDRUM CNTL,1,Source,12:40,--,0,1
2,QLN,KOLLAM JN,1,13:37,13:40,3:00,65,1
3,KYJ,KAYANKULAM JN,1,14:18,14:20,2:00,106,1
4,CNGR,CHENGANNUR,1,14:39,14:40,1:00,126,1
5,TRVL,TIRUVALLA,1,14:49,14:50,1:00,135,1
6,KTYM,KOTTAYAM,1,15:22,15:25,3:00,161,1
7,ERN,ERNAKULAM TOWN,1,17:00,17:05,5:00,223,1
8,AWY,ALUVA,1,17:33,17:35,2:00,240,1
9,TCR,THRISUR,1,18:22,18:25,3:00,295,1
10,PGT,PALAKKAD JN,1,19:52,19:55,3:00,372,1
11,CBE,COIMBATORE JN,1,21:27,21:30,3:00,426,1
12,TUP,TIRUPPUR,1,22:13,22:15,2:00,476,1
13,ED,ERODE JN,1,23:00,23:05,5:00,527,1
14,SA,SALEM JN,1,0:02,0:05,3:00,589,2
15,JTJ,JOLARPETTAI,1,1:53,1:55,2:00,709,2
16,KPD,KATPADI JN,1,3:10,3:30,20:00,793,2
17,AJJ,ARAKKONAM JN,1,4:18,4:20,2:00,854,2
18,PER,PERAMBUR,1,5:25,5:35,10:00,917,2
19,OGL,ONGOLE,1,10:24,10:25,1:00,1208,2
20,BZA,VIJAYAWADA JN,1,13:05,13:15,10:00,1347,2
21,RJY,RAJAHMUNDRY,1,15:27,15:29,2:00,1496,2
22,VSKP,VISAKHAPATNAM,1,19:10,19:30,20:00,1696,2
23,VZM,VIZIANAGRAM JN,1,20:28,20:33,5:00,1757,2
24,CHE,SRIKAKULAM ROAD,1,21:30,21:32,2:00,1826,2
25,PSA,PALASA,1,22:45,22:47,2:00,1899,2
26,BAM,BRAHMAPUR,1,23:50,23:55,5:00,1973,2
27,BALU,BALUGAON,1,0:53,0:55,2:00,2049,3
28,KUR,KHURDA ROAD JN,1,2:00,2:10,10:00,2120,3
29,BBS,BHUBANESWAR,1,2:35,2:40,5:00,2139,3
30,CTC,CUTTACK,1,3:15,3:20,5:00,2166,3
31,JJKR,JAJPUR K ROAD,1,4:20,4:22,2:00,2238,3
32,BHC,BHADRAK,1,5:28,5:30,2:00,2282,3
33,BLS,BALASORE,1,6:15,6:17,2:00,2344,3
34,KGP,KHARAGPUR JN,1,8:15,8:30,15:00,2462,3
35,SRC,SANTRAGACHI JN,1,10:04,10:05,1:00,2570,3
36,HWH,HOWRAH JN,1,10:55,11:15,20:00,2578,3
37,BHP,BOLPUR S NIKTN,1,13:18,13:23,5:00,2724,3
38,RPH,RAMPUR HAT,1,14:26,14:28,2:00,2784,3
39,NFK,NEW FARAKKA JN,1,16:14,16:16,2:00,2871,3
40,MLDT,MALDA TOWN,1,17:20,17:30,10:00,2905,3
41,KNE,KISHANGANJ,1,19:25,19:27,2:00,3051,3
42,NJP,NEW JALPAIGURI,1,21:25,21:40,15:00,3138,3
43,DQG,DHUPGURI,1,23:03,23:05,2:00,3203,3
44,NCB,NEW COOCH BEHAR,1,23:56,23:58,2:00,3264,3
45,NOQ,NEW ALIPURDUAR,1,0:18,0:20,2:00,3283,4
46,KOJ,KOKRAJHAR,1,1:18,1:19,1:00,3361,4
47,NBQ,NEW BONGAIGAON,1,2:09,2:14,5:00,3389,4
48,BPRD,BARPETA ROAD,1,2:49,2:50,1:00,3434,4
49,RNY,RANGIYA JN,1,3:50,3:55,5:00,3499,4
50,KYQ,KAMAKHYA,1,5:05,5:07,2:00,3540,4
51,GHY,GUWAHATI,1,5:40,5:55,15:00,3546,4
52,HJI,HOJAI,1,7:50,7:52,2:00,3682,4
53,LMG,LUMDING JN,1,10:15,10:40,25:00:00,3727,4
54,NHLG,NEW HAFLONG,1,13:20,13:25,5:00,3825,4
55,BPB,BADARPUR JN,1,15:35,16:00,25:00:00,3896,4
56,SCL,SILCHAR,1,17:15,--,--,3926,4
