S. No.,Station Code,Station Name,Route No.,Arrival Time,Departure Time,Halt Time (In Minutes),Distance,Day
1,CAPE,KANYAKUMARI,1,Source,14:15,--,0,1
2,NCJ,NAGERCOIL JN,1,14:40,14:45,5:00,16,1
3,KZT,KULITTHURAI,1,15:14,15:15,1:00,49,1
4,TVC,TRIVANDRUM CNTL,1,16:00,16:05,5:00,87,1
5,QLN,KOLLAM JN,1,17:07,17:10,3:00,152,1
6,KYJ,KAYANKULAM JN,1,17:43,17:45,2:00,192,1
7,CNGR,CHENGANNUR,1,18:04,18:05,1:00,213,1
8,TRVL,TIRUVALLA,1,18:14,18:15,1:00,222,1
9,KTYM,KOTTAYAM,1,19:02,19:05,3:00,247,1
10,ERN,ERNAKULAM TOWN,1,20:30,20:35,5:00,310,1
11,AWY,ALUVA,1,20:53,20:55,2:00,326,1
12,TCR,THRISUR,1,21:57,22:00,3:00,381,1
13,OTP,OTTAPPALAM,1,23:19,23:20,1:00,427,1
14,PGT,PALAKKAD JN,1,23:47,23:50,3:00,458,1
15,CBE,COIMBATORE JN,1,1:17,1:20,3:00,513,2
16,TUP,TIRUPPUR,1,2:03,2:05,2:00,563,2
17,ED,ERODE JN,1,3:20,3:30,10:00,613,2
18,SA,SALEM JN,1,4:22,4:25,3:00,676,2
19,JTJ,JOLARPETTAI,1,5:58,6:00,2:00,796,2
20,KPD,KATPADI JN,1,7:20,7:25,5:00,879,2
21,CTO,CHITTOOR,1,7:59,8:00,1:00,912,2
22,TPTY,TIRUPATI,1,9:20,9:25,5:00,984,2
23,RU,RENIGUNTA JN,1,9:50,10:00,10:00,994,2
24,GDR,GUDUR JN,1,11:23,11:25,2:00,1077,2
25,NLR,NELLORE,1,11:54,11:55,1:00,1115,2
26,OGL,ONGOLE,1,13:29,13:30,1:00,1231,2
27,TEL,TENALI JN,1,14:49,14:50,1:00,1338,2
28,BZA,VIJAYAWADA JN,1,16:10,16:20,10:00,1370,2
29,KMT,KHAMMAM,1,17:36,17:38,2:00,1469,2
30,WL,WARANGAL,1,19:40,19:45,5:00,1577,2
31,RDM,RAMAGUNDAM,1,21:04,21:06,2:00,1678,2
32,BPQ,BALHARSHAH,1,23:25,23:30,5:00,1819,2
33,CD,CHANDRAPUR,1,23:46,23:47,1:00,1833,2
34,SEGM,SEVAGRAM,1,1:35,1:36,1:00,1954,3
35,NGP,NAGPUR,1,2:50,2:55,5:00,2030,3
36,ET,ITARSI JN,1,7:20,7:30,10:00,2327,3
37,BPL,BHOPAL JN,1,9:15,9:20,5:00,2426,3
38,JHS,JHANSI JN,1,14:00,14:10,10:00,2717,3
39,GWL,GWALIOR,1,15:30,15:35,5:00,2814,3
40,DHO,DHAULPUR,1,16:31,16:32,1:00,2880,3
41,AGC,AGRA CANTT,1,17:15,17:20,5:00,2932,3
42,FDB,FARIDABAD,1,19:59,20:01,2:00,3099,3
43,NZM,H NIZAMUDDIN,1,20:40,21:10,30:00:00,3119,3
44,NDLS,NEW DELHI,1,21:40,23:30,110:00:00,3127,3
45,SSB,SHAKURBASTI,1,0:01,0:02,1:00,3138,4
46,BGZ,BAHADURGARH,1,0:19,0:21,2:00,3158,4
47,ROK,ROHTAK JN,1,0:55,0:57,2:00,3198,4
48,JIND,JIND JN,1,1:38,1:43,5:00,3255,4
49,NRW,NARWANA JN,1,2:07,2:08,1:00,3289,4
50,TUN,TOHANA,1,2:27,2:28,1:00,3315,4
51,JHL,JAKHAL JN,1,3:10,3:15,5:00,3327,4
52,LHA,LEHRA GAGA,1,3:28,3:29,1:00,3343,4
53,SFM,SUNAM,1,3:56,3:57,1:00,3364,4
54,SAG,SANGRUR,1,4:13,4:14,1:00,3377,4
55,DUI,DHURI JN,1,4:48,4:53,5:00,3393,4
56,MET,MALERKOTLA,1,5:09,5:10,1:00,3410,4
57,AHH,AHMADGARH,1,5:29,5:30,1:00,3429,4
58,QRP,KILA RAIPUR,1,5:39,5:40,1:00,3437,4
59,LDH,LUDHIANA JN,1,6:32,6:40,8:00,3455,4
60,PHR,PHILLAUR JN,1,6:54,6:55,1:00,3468,4
61,PGW,PHAGWARA JN,1,7:15,7:16,1:00,3491,4
62,JRC,JALANDHAR CANT,1,7:37,7:42,5:00,3507,4
63,TDO,TANDA URMAR,1,8:18,8:19,1:00,3550,4
64,DZA,DASUYA,1,8:52,8:53,1:00,3565,4
65,MEX,MUKERIAN,1,9:09,9:10,1:00,3580,4
66,PTKC,PATHANKOT CANTT,1,10:15,10:20,5:00,3620,4
67,KTHU,KATHUA,1,10:58,11:00,2:00,3643,4
68,SMBX,SAMBA,1,11:36,11:38,2:00,3687,4
69,JAT,JAMMU TAWI,1,12:55,13:05,10:00,3719,4
70,UHP,UDHAMPUR,1,14:00,14:03,3:00,3772,4
71,SVDK,SHMATA VD KATRA,1,14:55,--,--,3797,4
