S. No.,Station Code,Station Name,Route No.,Arrival Time,Departure Time,Halt Time (In Minutes),Distance,Day
1,CSMT,C SHIVAJI MAH T,1,Source,7:10,--,0,1
2,DR,DADAR,1,7:22,7:25,3:00,9,1
3,TNA,THANE,1,7:46,7:50,4:00,34,1
4,PNVL,PANVEL,1,8:25,8:30,5:00,69,1
5,MNI,MANGAON,1,10:48,10:50,2:00,188,1
6,KHED,KHED,1,12:11,12:12,1:00,284,1
7,CHI,CHIPLUN,1,12:50,12:52,2:00,325,1
8,SGR,SANGMESHWAR,1,13:50,13:51,1:00,384,1
9,RN,RATNAGIRI,1,15:40,15:45,5:00,431,1
10,ADVI,ADAVALI,1,16:17,16:18,1:00,475,1
11,RAJP,RAJAPUR ROAD,1,17:00,17:02,2:00,520,1
12,VBW,VAIBHAVWADI RD,1,17:21,17:22,1:00,543,1
13,KKW,KANKAVALI,1,18:00,18:02,2:00,587,1
14,SNDD,SINDHUDURG,1,18:27,18:28,1:00,612,1
15,KUDL,KUDAL,1,18:46,18:48,2:00,626,1
16,SWV,SAWANTWADI ROAD,1,19:20,19:21,1:00,655,1
17,PERN,PERNEM,1,20:00,20:01,1:00,686,1
18,THVM,THIVIM,1,20:18,20:20,2:00,701,1
19,KRMI,KARMALI,1,20:38,20:40,2:00,725,1
20,MAO,MADGAON,1,21:45,--,--,765,1
