S. No.,Station Code,Station Name,Route No.,Arrival Time,Departure Time,Halt Time (In Minutes),Distance,Day
1,SVDK,SHMATA VD KATRA,1,Source,21:55,--,0,1
2,UHP,UDHAMPUR,1,22:23,22:25,2:00,25,1
3,JAT,JAMMU TAWI,1,23:35,23:45,10:00,78,1
4,SMBX,SAMBA,1,0:15,0:17,2:00,111,2
5,KTHU,KATHUA,1,0:58,1:00,2:00,155,2
6,PTKC,PATHANKOT CANTT,1,1:33,1:38,5:00,178,2
7,MEX,MUKERIAN,1,2:11,2:13,2:00,217,2
8,DZA,DASUYA,1,2:29,2:31,2:00,233,2
9,TDO,TANDA URMAR,1,2:47,2:49,2:00,248,2
10,JRC,JALANDHAR CANT,1,3:45,3:50,5:00,291,2
11,PGW,PHAGWARA JN,1,4:03,4:05,2:00,307,2
12,PHR,PHILLAUR JN,1,4:24,4:26,2:00,329,2
13,LDH,LUDHIANA JN,1,5:00,5:10,10:00,343,2
14,QRP,KILA RAIPUR,1,5:41,5:43,2:00,360,2
15,AHH,AHMADGARH,1,5:52,5:54,2:00,369,2
16,MET,MALERKOTLA,1,6:11,6:13,2:00,388,2
17,DUI,DHURI JN,1,6:35,7:00,25:00:00,405,2
18,SAG,SANGRUR,1,7:15,7:17,2:00,421,2
19,SFMU,SUNAM UDHAM S W,1,7:42,7:44,2:00,433,2
20,LHA,LEHRA GAGA,1,8:02,8:04,2:00,455,2
21,JHL,JAKHAL JN,1,8:55,9:00,5:00,471,2
22,TUN,TOHANA,1,9:10,9:12,2:00,483,2
23,NRW,NARWANA JN,1,9:31,9:33,2:00,509,2
24,UCA,UCHANA,1,9:46,9:48,2:00,524,2
25,BZO,BARSOLA,1,9:58,10:00,2:00,535,2
26,JIND,JIND JN,1,10:20,10:25,5:00,543,2
27,JNA,JULANA,1,10:54,10:56,2:00,568,2
28,ROK,ROHTAK JN,1,11:36,11:38,2:00,600,2
29,BGZ,BAHADURGARH,1,12:04,12:06,2:00,640,2
30,SSB,SHAKURBASTI,1,12:38,12:40,2:00,660,2
31,NDLS,NEW DELHI,1,13:30,14:15,45:00:00,671,2
32,NZM,H NIZAMUDDIN,1,14:36,14:38,2:00,678,2
33,FDB,FARIDABAD,1,15:14,15:16,2:00,699,2
34,AGC,AGRA CANTT,1,18:30,18:35,5:00,865,2
35,DHO,DHAULPUR,1,19:38,19:40,2:00,918,2
36,GWL,GWALIOR,1,20:48,20:53,5:00,984,2
37,JHS,JHANSI JN,1,22:30,22:40,10:00,1081,2
38,BPL,BHOPAL JN,1,2:55,3:05,10:00,1372,3
39,ET,ITARSI JN,1,5:20,5:25,5:00,1464,3
40,NGP,NAGPUR,1,10:40,10:45,5:00,1761,3
41,SEGM,SEVAGRAM,1,11:48,11:49,1:00,1837,3
42,CD,CHANDRAPUR,1,13:37,13:38,1:00,1958,3
43,BPQ,BALHARSHAH,1,14:35,14:40,5:00,1972,3
44,RDM,RAMAGUNDAM,1,16:36,16:37,1:00,2113,3
45,WL,WARANGAL,1,18:38,18:43,5:00,2214,3
46,KMT,KHAMMAM,1,20:19,20:20,1:00,2322,3
47,BZA,VIJAYAWADA JN,1,23:35,23:40,5:00,2423,3
48,TEL,TENALI JN,1,0:04,0:05,1:00,2454,4
49,OGL,ONGOLE,1,1:39,1:40,1:00,2561,4
50,NLR,NELLORE,1,3:12,3:13,1:00,2677,4
51,GDR,GUDUR JN,1,4:13,4:15,2:00,2715,4
52,RU,RENIGUNTA JN,1,5:40,5:45,5:00,2799,4
53,TPTY,TIRUPATI,1,6:09,6:10,1:00,2808,4
54,CTO,CHITTOOR,1,7:09,7:10,1:00,2880,4
55,KPD,KATPADI JN,1,8:35,8:40,5:00,2913,4
56,JTJ,JOLARPETTAI,1,10:08,10:10,2:00,2996,4
57,SA,SALEM JN,1,11:35,11:40,5:00,3117,4
58,ED,ERODE JN,1,12:50,13:30,40:00:00,3179,4
59,TUP,TIRUPPUR,1,14:13,14:15,2:00,3229,4
60,CBE,COIMBATORE JN,1,15:07,15:10,3:00,3280,4
61,PGT,PALAKKAD JN,1,16:17,16:20,3:00,3334,4
62,SRR,SHORANUR JN,1,17:05,17:10,5:00,3378,4
63,CLT,KOZHIKKODE,1,18:32,18:35,3:00,3464,4
64,TLY,THALASSERY,1,19:34,19:35,1:00,3533,4
65,CAN,KANNUR,1,20:02,20:05,3:00,3554,4
66,KGQ,KASARAGOD,1,21:13,21:15,2:00,3639,4
67,MAQ,MANGALURU CNTL,1,23:00,--,--,3685,4
68,ED,ERODE JN,2,Source,13:40,50:00:00,3179,4
69,KRR,KARUR,2,14:53,14:55,2:00,3244,4
70,TPJ,TIRUCHCHIRAPALI,2,16:55,17:00,5:00,3320,4
71,DG,DINDIGUL JN,2,18:05,18:07,2:00,3415,4
72,KQN,KODAIKANAL ROAD,2,18:24,18:25,1:00,3440,4
73,MDU,MADURAI JN,2,19:00,19:05,5:00,3480,4
74,VPT,VIRUDUNAGAR JN,2,19:45,19:47,2:00,3524,4
75,SRT,SATUR,2,20:09,20:10,1:00,3551,4
76,CVP,KOVILPATTI,2,20:29,20:30,1:00,3572,4
77,MEJ,VANCHIMANIYACHI,2,22:31,22:32,1:00,3608,4
78,TEN,TIRUNELVELI,2,0:45,--,--,3637,5
