S. No.,Station Code,Station Name,Route No.,Arrival Time,Departure Time,Halt Time (In Minutes),Distance,Day
1,TEN,TIRUNELVELI,1,Source,16:00,--,0,1
2,MEJ,VANCHIMANIYACHI,1,16:27,16:28,1:00,29,1
3,CVP,KOVILPATTI,1,17:01,17:02,1:00,66,1
4,SRT,SATUR,1,17:21,17:22,1:00,87,1
5,VPT,VIRUDUNAGAR JN,1,17:48,17:50,2:00,114,1
6,MDU,MADURAI JN,1,19:25,19:30,5:00,157,1
7,KQN,KODAIKANAL ROAD,1,20:00,20:02,2:00,197,1
8,DG,DINDIGUL JN,1,20:30,20:35,5:00,223,1
9,TPJ,TIRUCHCHIRAPALI,1,22:05,22:15,10:00,317,1
10,KRR,KARUR,1,23:43,23:45,2:00,393,1
11,ED,ERODE JN,1,1:45,3:05,80:00:00,458,2
12,SA,SALEM JN,1,4:02,4:05,3:00,521,2
13,JTJ,JOLARPETTAI,1,5:58,6:00,2:00,641,2
14,KPD,KATPADI JN,1,7:20,7:25,5:00,725,2
15,CTO,CHITTOOR,1,7:59,8:00,1:00,757,2
16,TPTY,TIRUPATI,1,9:20,9:25,5:00,829,2
17,RU,RENIGUNTA JN,1,9:50,10:00,10:00,839,2
18,GDR,GUDUR JN,1,11:23,11:25,2:00,922,2
19,NLR,NELLORE,1,11:54,11:55,1:00,960,2
20,OGL,ONGOLE,1,13:29,13:30,1:00,1076,2
21,TEL,TENALI JN,1,14:49,14:50,1:00,1183,2
22,BZA,VIJAYAWADA JN,1,16:10,16:20,10:00,1215,2
23,KMT,KHAMMAM,1,17:36,17:38,2:00,1316,2
24,WL,WARANGAL,1,19:40,19:45,5:00,1423,2
25,RDM,RAMAGUNDAM,1,21:05,21:06,1:00,1524,2
26,BPQ,BALHARSHAH,1,23:25,23:30,5:00,1666,2
27,CD,CHANDRAPUR,1,23:46,23:47,1:00,1680,2
28,SEGM,SEVAGRAM,1,1:34,1:36,2:00,1801,3
29,NGP,NAGPUR,1,2:50,2:55,5:00,1877,3
30,ET,ITARSI JN,1,7:20,7:30,10:00,2174,3
31,BPL,BHOPAL JN,1,9:15,9:20,5:00,2271,3
32,JHS,JHANSI JN,1,14:00,14:10,10:00,2562,3
33,GWL,GWALIOR,1,15:30,15:35,5:00,2659,3
34,DHO,DHAULPUR,1,16:30,16:32,2:00,2725,3
35,AGC,AGRA CANTT,1,17:15,17:20,5:00,2777,3
36,FDB,FARIDABAD,1,20:00,20:01,1:00,2944,3
37,NZM,H NIZAMUDDIN,1,20:40,21:10,30:00:00,2965,3
38,NDLS,NEW DELHI,1,21:40,23:30,110:00:00,2972,3
39,SSB,SHAKURBASTI,1,0:01,0:02,1:00,2983,4
40,BGZ,BAHADURGARH,1,0:20,0:21,1:00,3003,4
41,ROK,ROHTAK JN,1,0:55,0:57,2:00,3043,4
42,JIND,JIND JN,1,1:38,1:43,5:00,3100,4
43,NRW,NARWANA JN,1,2:07,2:08,1:00,3134,4
44,TUN,TOHANA,1,2:27,2:28,1:00,3160,4
45,JHL,JAKHAL JN,1,3:10,3:15,5:00,3172,4
46,SFM,SUNAM,1,3:56,3:57,1:00,3210,4
47,SAG,SANGRUR,1,4:13,4:14,1:00,3222,4
48,DUI,DHURI JN,1,4:48,4:53,5:00,3238,4
49,MET,MALERKOTLA,1,5:09,5:10,1:00,3255,4
50,QRP,KILA RAIPUR,1,5:39,5:40,1:00,3283,4
51,LDH,LUDHIANA JN,1,6:32,6:40,8:00,3300,4
52,PHR,PHILLAUR JN,1,6:54,6:55,1:00,3314,4
53,PGW,PHAGWARA JN,1,7:15,7:16,1:00,3336,4
54,JRC,JALANDHAR CANT,1,7:37,7:42,5:00,3352,4
55,TDO,TANDA URMAR,1,8:18,8:19,1:00,3395,4
56,DZA,DASUYA,1,8:52,8:53,1:00,3410,4
57,MEX,MUKERIAN,1,9:09,9:10,1:00,3426,4
58,PTKC,PATHANKOT CANTT,1,10:15,10:20,5:00,3465,4
59,KTHU,KATHUA,1,10:58,11:00,2:00,3488,4
60,SMBX,SAMBA,1,11:37,11:38,1:00,3532,4
61,BBMN,BARI BRAHMAN,1,12:04,12:05,1:00,3556,4
62,JAT,JAMMU TAWI,1,12:55,13:05,10:00,3564,4
63,UHP,UDHAMPUR,1,14:00,14:03,3:00,3618,4
64,SVDK,SHMATA VD KATRA,1,14:55,--,--,3642,4
